Landing Page,Product Brand,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,,,,
/product/kg-kurt-geiger-lava-np-flat-lace-up-sneakers/WIsYRcnnfAAGVSZP,KG Kurt Geiger,88,45.45%,40,36.36%,1.22,,,,
/product/and-other-stories-biker-leather-jacket/WLSk_Uzt_QAGQptJ,& Other Stories,85,42.35%,36,37.65%,1.32,,,,
/product/jigsaw-napa-leather-biker-jacket/WJCVXc_0fgAHPB5Y,Jigsaw,85,23.53%,20,20.00%,1.09,,,,
/product/marks-and-spencer-autograph-leopard-leather-trainers/V8MyOdwOggAGiGhE,Marks and Spencer - Autograph,85,27.06%,23,22.35%,1.05,,,,
/product/warehouse-poppy-silk-trousers/WLDhBUzt_QAGaN7x,Warehouse,85,34.12%,29,28.24%,1.18,,,,
/product/bella-freud-anita-t-shirt/WL3QPsnnfAAGRzSC,Bella Freud,84,38.10%,32,28.57%,1.12,,,,
/product/maje-basali-patent-leather-jacket/WFfeOcnnfAAFJCpL,Maje,84,46.43%,39,34.52%,1.27,,,,
/product/converse-chuck-taylor-all-star/WIuBwsnnfAAGVgxi,Converse,82,24.39%,20,21.95%,1.23,,,,
/product/maje-jacron-wrap-leather-skirt/WBiA2MnnfAAGEhnQ,Maje,80,35.00%,28,23.75%,1.19,,,,
/product/whistles-arden-tassel-flat-points/WKmZksnnfAAGQI4F,Whistles,80,30.00%,24,26.25%,1.29,,,,
/product/finery-malone-gingham-shirt-dress/WK2NxMnnfAAGRCA1,Finery,79,45.57%,36,34.18%,1.13,,,,
/product/mango-bow-blouse/WMvlzkzt_QAF7O-m,Mango,78,26.92%,21,24.36%,1.13,,,,
/product/yellow-claw-blood-for-mercy-white-black-longsleeve-shirt/U9UaeuSwbRucIGDS,Yellow Claw,77,94.81%,73,67.53%,1.31,,,,
/product/cos-drawstring-shirt-waist/U3ypreSwEeC_ad3F,COS,76,28.95%,22,23.68%,1.16,,,,
/product/uterque-patchwork-coat/ViY3MOSwc-wtNoDe,UterqÃ_e,76,96.05%,73,72.37%,1.07,,,,
/product/and-other-stories-studded-western-chelsea-boots/WLxXKUzt_QAGOmVy,& Other Stories,75,40.00%,30,29.33%,1.35,,,,
/product/bella-freud-lovers-jumper/WItkJFL6_wAH6Ave,Bella Freud,75,42.67%,32,34.67%,1.23,,,,
/product/and-other-stories-pleated-lace-dress/WJxuq0zt_QAFKBnA,& Other Stories,74,35.14%,26,21.62%,1.36,,,,
/product/and-other-stories-embroidered-shirt/WJSXTMnnfAAGslm0,& Other Stories,73,27.40%,20,20.55%,1.21,,,,
/product/karen-millen-reefer-coat/WIzkQM_0fgAGZz9s,Karen Millen,73,32.88%,24,23.29%,1.18,,,,
/product/me-plus-em-tailored-wide-leg-jean/WA_1u8_0fgAGq-94,ME+EM,73,0.00%,0,1.37%,2.55,,,,
/product/nike-classic-cortez-leather-sneakers/WLQQo8nnfAAFXgGO,Nike,72,26.39%,19,13.89%,1.24,,,,
/product/me-and-em-check-trousers/WIfn5MnnfAAFKlxw,ME+EM,70,25.71%,18,20.00%,1.44,,,,
/product/and-other-stories-ruffle-collar-chambray-shirt/WMKZ8Ezt_QAGeYEX,& Other Stories,69,34.78%,24,27.54%,1.29,,,,
/product/and-other-stories-jacquard-zebra-sweater/WHTmmcnnfAAGkf-A,& Other Stories,68,29.41%,20,25.00%,1.25,,,,
/product/and-other-stories-raw-edge-jeans/V4Tsa0zt_QAF6thv,& Other Stories,68,32.35%,22,22.06%,1.24,,,,
/product/and-other-stories-turtleneck-sweater/VoKKXeSwyZssZSe9,& Other Stories,68,20.59%,14,20.59%,1.16,,,,
/product/sandro-long-trench-coat/WJxP7kzt_QAFJ0Bu,Sandro,68,25.00%,17,19.12%,1.12,,,,
/product/uterque-tortoiseshell-sunglasses/WMv0asnnfAAF8mYE,UterqÃ_e,68,23.53%,16,19.12%,1.22,,,,
/product/and-other-stories-leather-saddle-clutch/WMFTs8nnfAAFdx6g,& Other Stories,67,28.36%,19,23.88%,1.22,,,,
/product/carvela-kurt-geiger-luna-slip-on-shoes/WLSnqkzt_QAGQp_6,Carvela Kurt Geiger,67,46.27%,31,40.30%,1.22,,,,
/product/nike-high-top-trainers/WJNSIcnnfAAG6O96,Nike,67,25.37%,17,19.40%,1.22,,,,
/product/whistles-tie-side-rib-sweater/WH01bcnnfAAG_3Mo,Whistles,67,28.36%,19,25.37%,1.27,,,,
/product/and-other-stories-oversized-cardigan/WHyZx8nnfAAG_vCN,& Other Stories,66,28.79%,19,22.73%,1.32,,,,
/product/reiss-turner-blazer/WJiTVMnnfAAGDJQj,Reiss,66,39.39%,26,36.36%,1.09,,,,
/product/and-other-stories-pointed-suede-pump/WLSiX8nnfAAFX3al,& Other Stories,64,20.31%,13,10.94%,1.25,,,,
/product/zara-yellow-stripe-trousers/V8zBfUzt_QAGDzEv,Zara,64,92.19%,59,57.81%,1.11,,,,
/product/mango-soft-leather-ballerina/WJIDLcnnfAAFchWk,Mango,63,41.27%,26,23.81%,1.41,,,,
/product/nina-kaufmann-milla-embroidered-smock-dress/VXhfoOSwqgzfe7Ai,Nina Kaufmann,63,90.48%,57,50.79%,1.38,,,,
/product/warehouse-longline-duster-coat/WHTohcnnfAAGkgKa,Warehouse,62,32.26%,20,24.19%,1.27,,,,
/product/and-other-stories-golden-lock-leather-bag/WLxFQMnnfAAFHcfl,& Other Stories,61,47.54%,29,40.98%,1.2,,,,
/product/whistles-ira-tie-front-dress/V-0S0MnnfAAHxuB0,Whistles,61,18.03%,11,16.39%,1.26,,,,
/product/mango-leather-biker-jacket/WJrqHcnnfAAFnpx8,Mango,60,36.67%,22,21.67%,1.3,,,,
/product/boden-mollie-boot/WF1rk8nnfAAGLZTP,Boden,59,44.07%,26,33.90%,1.32,,,,
